"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Check Hero Banner subtitle","Tests","Thu Dec 12 09:58:35 GMT 2024","passed","Thu Dec 12 09:58:35 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check Download section image","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Check Hero Banner image","Tests","Thu Dec 12 09:58:24 GMT 2024","passed","Thu Dec 12 09:58:24 GMT 2024","TestHomePage","test_HomePage","",""
"","27","Check Hero Banner appearance","Tests","Thu Dec 12 09:58:24 GMT 2024","passed","Thu Dec 12 09:58:24 GMT 2024","TestHomePage","test_HomePage","",""
"","34","Check presented sites order","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","24","Check presented sites order","Tests","Thu Dec 12 09:58:29 GMT 2024","passed","Thu Dec 12 09:58:29 GMT 2024","TestHomePage","test_HomePage","",""
"","4489","Check Hero Banner button","Tests","Thu Dec 12 09:58:24 GMT 2024","passed","Thu Dec 12 09:58:28 GMT 2024","TestHomePage","test_HomePage","",""
"","8","Check site carousel description","Tests","Thu Dec 12 09:58:29 GMT 2024","passed","Thu Dec 12 09:58:29 GMT 2024","TestHomePage","test_HomePage","",""
"","14","Check Hero Banner title","Tests","Thu Dec 12 09:58:17 GMT 2024","passed","Thu Dec 12 09:58:17 GMT 2024","TestHomePage","test_HomePage","",""
"","4182","Check Hero Banner button","Tests","Thu Dec 12 09:58:17 GMT 2024","passed","Thu Dec 12 09:58:21 GMT 2024","TestHomePage","test_HomePage","",""
"","6354","Click on event carousel card","Tests","Thu Dec 12 09:58:58 GMT 2024","passed","Thu Dec 12 09:59:04 GMT 2024","TestHomePage","test_HomePage","",""
"","45","Check Hero Banner appearance","Tests","Thu Dec 12 09:58:35 GMT 2024","passed","Thu Dec 12 09:58:35 GMT 2024","TestHomePage","test_HomePage","",""
"","33","Check presented events order","Tests","Thu Dec 12 09:58:52 GMT 2024","passed","Thu Dec 12 09:58:52 GMT 2024","TestHomePage","test_HomePage","",""
"","46","Check events carousel appearance","Tests","Thu Dec 12 09:58:52 GMT 2024","passed","Thu Dec 12 09:58:52 GMT 2024","TestHomePage","test_HomePage","",""
"","74","Check Download section analytic pairs","Tests","Thu Dec 12 09:58:28 GMT 2024","passed","Thu Dec 12 09:58:29 GMT 2024","TestHomePage","test_HomePage","",""
"","12","Check site carousel title","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","18","Check Download section description","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","13","Check Hero Banner image","Tests","Thu Dec 12 09:58:35 GMT 2024","passed","Thu Dec 12 09:58:35 GMT 2024","TestHomePage","test_HomePage","",""
"","12","Check Download section title","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","15","Check Download section description","Tests","Thu Dec 12 09:58:21 GMT 2024","passed","Thu Dec 12 09:58:21 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check site carousel description","Tests","Thu Dec 12 09:58:40 GMT 2024","passed","Thu Dec 12 09:58:40 GMT 2024","TestHomePage","test_HomePage","",""
"","24","Check events carousel appearance","Tests","Thu Dec 12 09:58:44 GMT 2024","failed","Thu Dec 12 09:58:44 GMT 2024","TestHomePage","test_HomePage","",""
"","16","Check Hero Banner title","Tests","Thu Dec 12 09:58:35 GMT 2024","passed","Thu Dec 12 09:58:35 GMT 2024","TestHomePage","test_HomePage","",""
"","5191","Check site carousel button","Tests","Thu Dec 12 09:58:21 GMT 2024","passed","Thu Dec 12 09:58:27 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check event carousel title","Tests","Thu Dec 12 09:58:52 GMT 2024","passed","Thu Dec 12 09:58:52 GMT 2024","TestHomePage","test_HomePage","",""
"","4962","User is navigated to the Home page","Tests","Thu Dec 12 09:58:30 GMT 2024","passed","Thu Dec 12 09:58:35 GMT 2024","TestHomePage","test_HomePage","",""
"","7","Check Hero Banner subtitle","Tests","Thu Dec 12 09:58:24 GMT 2024","passed","Thu Dec 12 09:58:24 GMT 2024","TestHomePage","test_HomePage","",""
