"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Check site carousel description","Tests","Thu Dec 12 12:44:43 GMT 2024","passed","Thu Dec 12 12:44:43 GMT 2024","TestHomePage","test_HomePage","",""
"","60","Check Download section appearance","Tests","Thu Dec 12 12:44:40 GMT 2024","passed","Thu Dec 12 12:44:40 GMT 2024","TestHomePage","test_HomePage","",""
"","80","Check Download section analytic pairs","Tests","Thu Dec 12 12:44:43 GMT 2024","passed","Thu Dec 12 12:44:43 GMT 2024","TestHomePage","test_HomePage","",""
"","499","Check language switch","Tests","Thu Dec 12 12:46:04 GMT 2024","passed","Thu Dec 12 12:46:05 GMT 2024","TestHomePage","test_HomePage","",""
"","4","Check Download section image","Tests","Thu Dec 12 12:44:40 GMT 2024","passed","Thu Dec 12 12:44:40 GMT 2024","TestHomePage","test_HomePage","",""
"","71","Check Download section appearance","Tests","Thu Dec 12 12:44:43 GMT 2024","passed","Thu Dec 12 12:44:43 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Click Download section App Store button","Tests","Thu Dec 12 12:44:40 GMT 2024","passed","Thu Dec 12 12:44:40 GMT 2024","TestHomePage","test_HomePage","",""
"","16","Check Download section description","Tests","Thu Dec 12 12:44:43 GMT 2024","passed","Thu Dec 12 12:44:43 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check Download section title","Tests","Thu Dec 12 12:44:43 GMT 2024","passed","Thu Dec 12 12:44:43 GMT 2024","TestHomePage","test_HomePage","",""
"","3","Click Download section Google Play button","Tests","Thu Dec 12 12:44:33 GMT 2024","passed","Thu Dec 12 12:44:33 GMT 2024","TestHomePage","test_HomePage","",""
"","12","Check sites carousel appearance","Tests","Thu Dec 12 12:44:33 GMT 2024","passed","Thu Dec 12 12:44:33 GMT 2024","TestHomePage","test_HomePage","",""
