"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Check Download section image","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","16","Check Download section description","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","137","Check presented events in the events carousel","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:54 GMT 2024","TestHomePage","test_HomePage","",""
"","92","Check presented events in the events carousel","Tests","Thu Dec 12 13:43:51 GMT 2024","passed","Thu Dec 12 13:43:52 GMT 2024","TestHomePage","test_HomePage","",""
"","93","Check presented sites in the sites carousel","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","111","Check sections appearance","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","29","Check presented events order","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:54 GMT 2024","TestHomePage","test_HomePage","",""
"","5138","Check event carousel button","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:59 GMT 2024","TestHomePage","test_HomePage","",""
"","2995","Check main navigation","Tests","Thu Dec 12 13:44:38 GMT 2024","passed","Thu Dec 12 13:44:41 GMT 2024","TestHomePage","test_HomePage","",""
"","24","Check sites carousel appearance","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check Hero Banner image","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Click Download section App Store button","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","22","Check presented sites order","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check event carousel title","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","24","Check site carousel title","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","3310","Check main navigation","Tests","Thu Dec 12 13:44:38 GMT 2024","passed","Thu Dec 12 13:44:41 GMT 2024","TestHomePage","test_HomePage","",""
"","58","Check presented sites in the sites carousel","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","5142","Check event carousel button","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:44:01 GMT 2024","TestHomePage","test_HomePage","",""
"","3826","Check main navigation","Tests","Thu Dec 12 13:44:42 GMT 2024","passed","Thu Dec 12 13:44:46 GMT 2024","TestHomePage","test_HomePage","",""
"","7","Check site carousel title","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","32","Check events carousel appearance","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:54 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check site carousel title","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","15","Check Download section description","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","31","Check presented events order","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","8","Check Download section title","Tests","Thu Dec 12 13:43:37 GMT 2024","passed","Thu Dec 12 13:43:37 GMT 2024","TestHomePage","test_HomePage","",""
"","6965","Click on site carousel card","Tests","Thu Dec 12 13:43:46 GMT 2024","passed","Thu Dec 12 13:43:52 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check site carousel description","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check event carousel title","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:54 GMT 2024","TestHomePage","test_HomePage","",""
"","218","Check Download section appearance","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","228","Check Hero Banner appearance","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check event carousel description","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","5470","Check event carousel button","Tests","Thu Dec 12 13:43:52 GMT 2024","passed","Thu Dec 12 13:43:57 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check Hero Banner subtitle","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","98","Check Download section appearance","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","4195","Check Hero Banner button","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","5563","User is navigated to the Home page","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","41","Check Hero Banner subtitle","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","79","Check Download section analytic pairs","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","20","Check Hero Banner title","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Check Hero Banner image","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","101","Check presented sites in the sites carousel","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","6951","Click on event carousel card","Tests","Thu Dec 12 13:43:59 GMT 2024","passed","Thu Dec 12 13:44:06 GMT 2024","TestHomePage","test_HomePage","",""
"","21","Check presented events order","Tests","Thu Dec 12 13:43:52 GMT 2024","passed","Thu Dec 12 13:43:52 GMT 2024","TestHomePage","test_HomePage","",""
"","47","Check events carousel appearance","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","8","Click Download section App Store button","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check site carousel description","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","4494","Check Hero Banner button","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:37 GMT 2024","TestHomePage","test_HomePage","",""
"","75","Check Download section analytic pairs","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","9","Click Download section Google Play button","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","48","Check Download section analytic pairs","Tests","Thu Dec 12 13:43:37 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","13","Check Download section description","Tests","Thu Dec 12 13:43:37 GMT 2024","passed","Thu Dec 12 13:43:37 GMT 2024","TestHomePage","test_HomePage","",""
"","25","Check Hero Banner appearance","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","7049","Click on site carousel card","Tests","Thu Dec 12 13:43:49 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","9","Check Hero Banner title","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check event carousel description","Tests","Thu Dec 12 13:43:54 GMT 2024","passed","Thu Dec 12 13:43:54 GMT 2024","TestHomePage","test_HomePage","",""
"","6955","User is navigated to the Home page","Tests","Thu Dec 12 13:43:26 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","8","Click Download section App Store button","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","5112","Check language switch","Tests","Thu Dec 12 13:44:41 GMT 2024","passed","Thu Dec 12 13:44:46 GMT 2024","TestHomePage","test_HomePage","",""
"","4212","Check Hero Banner button","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","404","Check language switch","Tests","Thu Dec 12 13:44:46 GMT 2024","passed","Thu Dec 12 13:44:46 GMT 2024","TestHomePage","test_HomePage","",""
"","42","Check Download section appearance","Tests","Thu Dec 12 13:43:37 GMT 2024","passed","Thu Dec 12 13:43:37 GMT 2024","TestHomePage","test_HomePage","",""
"","16388","Event carousel cards without events","Tests","Thu Dec 12 13:44:11 GMT 2024","passed","Thu Dec 12 13:44:28 GMT 2024","TestHomePage","test_HomePage","",""
"","7","Check event carousel title","Tests","Thu Dec 12 13:43:51 GMT 2024","passed","Thu Dec 12 13:43:51 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Check Download section title","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","5508","Check site carousel button","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check Download section title","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","8","Check Hero Banner subtitle","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","47","Check sites carousel appearance","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","62","Check sections appearance","Tests","Thu Dec 12 13:43:33 GMT 2024","passed","Thu Dec 12 13:43:33 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Check Download section image","Tests","Thu Dec 12 13:43:37 GMT 2024","passed","Thu Dec 12 13:43:37 GMT 2024","TestHomePage","test_HomePage","",""
"","6425","User is navigated to the Home page","Tests","Thu Dec 12 13:43:29 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","336","Check presented sites order","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","11","Check Download section image","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:43 GMT 2024","TestHomePage","test_HomePage","",""
"","35","Check Hero Banner appearance","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","72","Check sections appearance","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","7152","Click on site carousel card","Tests","Thu Dec 12 13:43:43 GMT 2024","passed","Thu Dec 12 13:43:50 GMT 2024","TestHomePage","test_HomePage","",""
"","7","Check event carousel description","Tests","Thu Dec 12 13:43:51 GMT 2024","passed","Thu Dec 12 13:43:51 GMT 2024","TestHomePage","test_HomePage","",""
"","7","Check site carousel description","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","5","Click Download section Google Play button","Tests","Thu Dec 12 13:43:38 GMT 2024","passed","Thu Dec 12 13:43:38 GMT 2024","TestHomePage","test_HomePage","",""
"","13","Check Hero Banner image","Tests","Thu Dec 12 13:43:39 GMT 2024","passed","Thu Dec 12 13:43:39 GMT 2024","TestHomePage","test_HomePage","",""
"","18357","Event carousel cards without events","Tests","Thu Dec 12 13:44:13 GMT 2024","passed","Thu Dec 12 13:44:32 GMT 2024","TestHomePage","test_HomePage","",""
"","71","Check Hero Banner title","Tests","Thu Dec 12 13:43:35 GMT 2024","passed","Thu Dec 12 13:43:35 GMT 2024","TestHomePage","test_HomePage","",""
"","146","Check presented events in the events carousel","Tests","Thu Dec 12 13:43:56 GMT 2024","passed","Thu Dec 12 13:43:56 GMT 2024","TestHomePage","test_HomePage","",""
"","25","Check events carousel appearance","Tests","Thu Dec 12 13:43:51 GMT 2024","passed","Thu Dec 12 13:43:51 GMT 2024","TestHomePage","test_HomePage","",""
"","10","Click Download section Google Play button","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","335","Check language switch","Tests","Thu Dec 12 13:44:41 GMT 2024","passed","Thu Dec 12 13:44:41 GMT 2024","TestHomePage","test_HomePage","",""
"","5167","Check site carousel button","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:49 GMT 2024","TestHomePage","test_HomePage","",""
"","32","Check presented sites order","Tests","Thu Dec 12 13:43:44 GMT 2024","passed","Thu Dec 12 13:43:44 GMT 2024","TestHomePage","test_HomePage","",""
"","7104","Click on event carousel card","Tests","Thu Dec 12 13:43:57 GMT 2024","passed","Thu Dec 12 13:44:04 GMT 2024","TestHomePage","test_HomePage","",""
"","6515","Click on event carousel card","Tests","Thu Dec 12 13:44:01 GMT 2024","passed","Thu Dec 12 13:44:08 GMT 2024","TestHomePage","test_HomePage","",""
"","51","Check sites carousel appearance","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:40 GMT 2024","TestHomePage","test_HomePage","",""
"","16055","Event carousel cards without events","Tests","Thu Dec 12 13:44:11 GMT 2024","passed","Thu Dec 12 13:44:27 GMT 2024","TestHomePage","test_HomePage","",""
"","5150","Check site carousel button","Tests","Thu Dec 12 13:43:40 GMT 2024","passed","Thu Dec 12 13:43:46 GMT 2024","TestHomePage","test_HomePage","",""
